Date,confidence_score,Year,Month,Year_Chunk
1990-01-15,-19,1990,January,1990–1994
1990-02-15,-24,1990,February,1990–1994
1990-03-15,-35,1990,March,1990–1994
1990-04-15,-31,1990,April,1990–1994
1990-05-15,-30,1990,May,1990–1994
1990-06-15,-27,1990,June,1990–1994
1990-07-15,-24,1990,July,1990–1994
1990-08-15,-26,1990,August,1990–1994
1990-09-15,-29,1990,September,1990–1994
1990-10-15,-27,1990,October,1990–1994
1990-11-15,-29,1990,November,1990–1994
1990-12-15,-19,1990,December,1990–1994
1991-01-15,-24,1991,January,1990–1994
1991-02-15,-27,1991,February,1990–1994
1991-03-15,-21,1991,March,1990–1994
1991-04-15,-20,1991,April,1990–1994
1991-05-15,-19,1991,May,1990–1994
1991-06-15,-19,1991,June,1990–1994
1991-07-15,-19,1991,July,1990–1994
1991-08-15,-15,1991,August,1990–1994
1991-09-15,-11,1991,September,1990–1994
1991-10-15,-10,1991,October,1990–1994
1991-11-15,-13,1991,November,1990–1994
1991-12-15,-15,1991,December,1990–1994
1992-01-15,-17,1992,January,1990–1994
1992-02-15,-17,1992,February,1990–1994
1992-03-15,-15,1992,March,1990–1994
1992-04-15,-9,1992,April,1990–1994
1992-05-15,-2,1992,May,1990–1994
1992-06-15,-7,1992,June,1990–1994
1992-07-15,-12,1992,July,1990–1994
1992-08-15,-19,1992,August,1990–1994
1992-09-15,-21,1992,September,1990–1994
1992-10-15,-28,1992,October,1990–1994
1992-11-15,-28,1992,November,1990–1994
1992-12-15,-23,1992,December,1990–1994
1993-01-15,-13,1993,January,1990–1994
1993-02-15,-19,1993,February,1990–1994
1993-03-15,-17,1993,March,1990–1994
1993-04-15,-18,1993,April,1990–1994
1993-05-15,-6,1993,May,1990–1994
1993-06-15,-13,1993,June,1990–1994
1993-07-15,-12,1993,July,1990–1994
1993-08-15,-7,1993,August,1990–1994
1993-09-15,-7,1993,September,1990–1994
1993-10-15,-11,1993,October,1990–1994
1993-11-15,-15,1993,November,1990–1994
1993-12-15,-15,1993,December,1990–1994
1994-01-15,-7,1994,January,1990–1994
1994-02-15,-13,1994,February,1990–1994
1994-03-15,-17,1994,March,1990–1994
1994-04-15,-18,1994,April,1990–1994
1994-05-15,-15,1994,May,1990–1994
1994-06-15,-12,1994,June,1990–1994
1994-07-15,-11,1994,July,1990–1994
1994-08-15,-8,1994,August,1990–1994
1994-09-15,-9,1994,September,1990–1994
1994-10-15,-11,1994,October,1990–1994
1994-11-15,-8,1994,November,1990–1994
1994-12-15,-18,1994,December,1990–1994
1995-01-15,-9,1995,January,1995–1999
1995-02-15,-12,1995,February,1995–1999
1995-03-15,-14,1995,March,1995–1999
1995-04-15,-12,1995,April,1995–1999
1995-05-15,-9,1995,May,1995–1999
1995-06-15,-10,1995,June,1995–1999
1995-07-15,-7,1995,July,1995–1999
1995-08-15,-7,1995,August,1995–1999
1995-09-15,-8,1995,September,1995–1999
1995-10-15,-8,1995,October,1995–1999
1995-11-15,-10,1995,November,1995–1999
1995-12-15,-11,1995,December,1995–1999
1996-01-15,-5,1996,January,1995–1999
1996-02-15,-9,1996,February,1995–1999
1996-03-15,-8,1996,March,1995–1999
1996-04-15,-8,1996,April,1995–1999
1996-05-15,-6,1996,May,1995–1999
1996-06-15,-7,1996,June,1995–1999
1996-07-15,-4,1996,July,1995–1999
1996-08-15,-3,1996,August,1995–1999
1996-09-15,-1,1996,September,1995–1999
1996-10-15,-2,1996,October,1995–1999
1996-11-15,1,1996,November,1995–1999
1996-12-15,-4,1996,December,1995–1999
1997-01-15,2,1997,January,1995–1999
1997-02-15,2,1997,February,1995–1999
1997-03-15,1,1997,March,1995–1999
1997-04-15,-1,1997,April,1995–1999
1997-05-15,6,1997,May,1995–1999
1997-06-15,8,1997,June,1995–1999
1997-07-15,8,1997,July,1995–1999
1997-08-15,10,1997,August,1995–1999
1997-09-15,8,1997,September,1995–1999
1997-10-15,7,1997,October,1995–1999
1997-11-15,2,1997,November,1995–1999
1997-12-15,0,1997,December,1995–1999
1998-01-15,4,1998,January,1995–1999
1998-02-15,4,1998,February,1995–1999
1998-03-15,2,1998,March,1995–1999
1998-04-15,4,1998,April,1995–1999
1998-05-15,7,1998,May,1995–1999
1998-06-15,2,1998,June,1995–1999
1998-07-15,-1,1998,July,1995–1999
1998-08-15,-5,1998,August,1995–1999
1998-09-15,-3,1998,September,1995–1999
1998-10-15,-9,1998,October,1995–1999
1998-11-15,-7,1998,November,1995–1999
1998-12-15,-8,1998,December,1995–1999
1999-01-15,-3,1999,January,1995–1999
1999-02-15,-1,1999,February,1995–1999
1999-03-15,1,1999,March,1995–1999
1999-04-15,1,1999,April,1995–1999
1999-05-15,5,1999,May,1995–1999
1999-06-15,5,1999,June,1995–1999
1999-07-15,2,1999,July,1995–1999
1999-08-15,4,1999,August,1995–1999
1999-09-15,2,1999,September,1995–1999
1999-10-15,2,1999,October,1995–1999
1999-11-15,-2,1999,November,1995–1999
1999-12-15,1,1999,December,1995–1999
2000-01-15,8,2000,January,2000–2004
2000-02-15,2,2000,February,2000–2004
2000-03-15,-2,2000,March,2000–2004
2000-04-15,-4,2000,April,2000–2004
2000-05-15,2,2000,May,2000–2004
2000-06-15,0,2000,June,2000–2004
2000-07-15,-3,2000,July,2000–2004
2000-08-15,1,2000,August,2000–2004
2000-09-15,-5,2000,September,2000–2004
2000-10-15,0,2000,October,2000–2004
2000-11-15,-2,2000,November,2000–2004
2000-12-15,-1,2000,December,2000–2004
2001-01-15,5,2001,January,2000–2004
2001-02-15,2,2001,February,2000–2004
2001-03-15,3,2001,March,2000–2004
2001-04-15,1,2001,April,2000–2004
2001-05-15,2,2001,May,2000–2004
2001-06-15,6,2001,June,2000–2004
2001-07-15,4,2001,July,2000–2004
2001-08-15,0,2001,August,2000–2004
2001-09-15,-1,2001,September,2000–2004
2001-10-15,-5,2001,October,2000–2004
2001-11-15,-3,2001,November,2000–2004
2001-12-15,-1,2001,December,2000–2004
2002-01-15,6,2002,January,2000–2004
2002-02-15,5,2002,February,2000–2004
2002-03-15,3,2002,March,2000–2004
2002-04-15,4,2002,April,2000–2004
2002-05-15,6,2002,May,2000–2004
2002-06-15,6,2002,June,2000–2004
2002-07-15,2,2002,July,2000–2004
2002-08-15,2,2002,August,2000–2004
2002-09-15,4,2002,September,2000–2004
2002-10-15,1,2002,October,2000–2004
2002-11-15,2,2002,November,2000–2004
2002-12-15,-4,2002,December,2000–2004
2003-01-15,-3,2003,January,2000–2004
2003-02-15,-9,2003,February,2000–2004
2003-03-15,-10,2003,March,2000–2004
2003-04-15,-5,2003,April,2000–2004
2003-05-15,-3,2003,May,2000–2004
2003-06-15,-2,2003,June,2000–2004
2003-07-15,-1,2003,July,2000–2004
2003-08-15,-3,2003,August,2000–2004
2003-09-15,-3,2003,September,2000–2004
2003-10-15,-3,2003,October,2000–2004
2003-11-15,-6,2003,November,2000–2004
2003-12-15,-5,2003,December,2000–2004
2004-01-15,0,2004,January,2000–2004
2004-02-15,-2,2004,February,2000–2004
2004-03-15,-3,2004,March,2000–2004
2004-04-15,-2,2004,April,2000–2004
2004-05-15,-2,2004,May,2000–2004
2004-06-15,-4,2004,June,2000–2004
2004-07-15,-3,2004,July,2000–2004
2004-08-15,-5,2004,August,2000–2004
2004-09-15,-7,2004,September,2000–2004
2004-10-15,-6,2004,October,2000–2004
2004-11-15,-4,2004,November,2000–2004
2004-12-15,-3,2004,December,2000–2004
2005-01-15,1,2005,January,2005–2009
2005-02-15,0,2005,February,2005–2009
2005-03-15,1,2005,March,2005–2009
2005-04-15,0,2005,April,2005–2009
2005-05-15,-1,2005,May,2005–2009
2005-06-15,-3,2005,June,2005–2009
2005-07-15,-1,2005,July,2005–2009
2005-08-15,-4,2005,August,2005–2009
2005-09-15,-5,2005,September,2005–2009
2005-10-15,-8,2005,October,2005–2009
2005-11-15,-8,2005,November,2005–2009
2005-12-15,-9,2005,December,2005–2009
2006-01-15,-3,2006,January,2005–2009
2006-02-15,-4,2006,February,2005–2009
2006-03-15,-7,2006,March,2005–2009
2006-04-15,-4,2006,April,2005–2009
2006-05-15,-5,2006,May,2005–2009
2006-06-15,-4,2006,June,2005–2009
2006-07-15,-4,2006,July,2005–2009
2006-08-15,-8,2006,August,2005–2009
2006-09-15,-7,2006,September,2005–2009
2006-10-15,-5,2006,October,2005–2009
2006-11-15,-7,2006,November,2005–2009
2006-12-15,-8,2006,December,2005–2009
2007-01-15,-7,2007,January,2005–2009
2007-02-15,-8,2007,February,2005–2009
2007-03-15,-8,2007,March,2005–2009
2007-04-15,-6,2007,April,2005–2009
2007-05-15,-2,2007,May,2005–2009
2007-06-15,-3,2007,June,2005–2009
2007-07-15,-6,2007,July,2005–2009
2007-08-15,-4,2007,August,2005–2009
2007-09-15,-7,2007,September,2005–2009
2007-10-15,-8,2007,October,2005–2009
2007-11-15,-10,2007,November,2005–2009
2007-12-15,-14,2007,December,2005–2009
2008-01-15,-13,2008,January,2005–2009
2008-02-15,-17,2008,February,2005–2009
2008-03-15,-19,2008,March,2005–2009
2008-04-15,-24,2008,April,2005–2009
2008-05-15,-29,2008,May,2005–2009
2008-06-15,-34,2008,June,2005–2009
2008-07-15,-39,2008,July,2005–2009
2008-08-15,-36,2008,August,2005–2009
2008-09-15,-32,2008,September,2005–2009
2008-10-15,-36,2008,October,2005–2009
2008-11-15,-35,2008,November,2005–2009
2008-12-15,-33,2008,December,2005–2009
2009-01-15,-37,2009,January,2005–2009
2009-02-15,-35,2009,February,2005–2009
2009-03-15,-30,2009,March,2005–2009
2009-04-15,-27,2009,April,2005–2009
2009-05-15,-27,2009,May,2005–2009
2009-06-15,-25,2009,June,2005–2009
2009-07-15,-25,2009,July,2005–2009
2009-08-15,-25,2009,August,2005–2009
2009-09-15,-16,2009,September,2005–2009
2009-10-15,-13,2009,October,2005–2009
2009-11-15,-17,2009,November,2005–2009
2009-12-15,-19,2009,December,2005–2009
2010-01-15,-17,2010,January,2010–2014
2010-02-15,-14,2010,February,2010–2014
2010-03-15,-15,2010,March,2010–2014
2010-04-15,-16,2010,April,2010–2014
2010-05-15,-18,2010,May,2010–2014
2010-06-15,-19,2010,June,2010–2014
2010-07-15,-22,2010,July,2010–2014
2010-08-15,-18,2010,August,2010–2014
2010-09-15,-20,2010,September,2010–2014
2010-10-15,-19,2010,October,2010–2014
2010-11-15,-21,2010,November,2010–2014
2010-12-15,-21,2010,December,2010–2014
2011-01-15,-29,2011,January,2010–2014
2011-02-15,-28,2011,February,2010–2014
2011-03-15,-28,2011,March,2010–2014
2011-04-15,-31,2011,April,2010–2014
2011-05-15,-21,2011,May,2010–2014
2011-06-15,-25,2011,June,2010–2014
2011-07-15,-30,2011,July,2010–2014
2011-08-15,-31,2011,August,2010–2014
2011-09-15,-30,2011,September,2010–2014
2011-10-15,-32,2011,October,2010–2014
2011-11-15,-31,2011,November,2010–2014
2011-12-15,-33,2011,December,2010–2014
2012-01-15,-29,2012,January,2010–2014
2012-02-15,-29,2012,February,2010–2014
2012-03-15,-31,2012,March,2010–2014
2012-04-15,-31,2012,April,2010–2014
2012-05-15,-29,2012,May,2010–2014
2012-06-15,-29,2012,June,2010–2014
2012-07-15,-29,2012,July,2010–2014
2012-08-15,-29,2012,August,2010–2014
2012-09-15,-28,2012,September,2010–2014
2012-10-15,-30,2012,October,2010–2014
2012-11-15,-22,2012,November,2010–2014
2012-12-15,-29,2012,December,2010–2014
2013-01-15,-26,2013,January,2010–2014
2013-02-15,-26,2013,February,2010–2014
2013-03-15,-26,2013,March,2010–2014
2013-04-15,-27,2013,April,2010–2014
2013-05-15,-22,2013,May,2010–2014
2013-06-15,-21,2013,June,2010–2014
2013-07-15,-16,2013,July,2010–2014
2013-08-15,-13,2013,August,2010–2014
2013-09-15,-10,2013,September,2010–2014
2013-10-15,-11,2013,October,2010–2014
2013-11-15,-12,2013,November,2010–2014
2013-12-15,-13,2013,December,2010–2014
2014-01-15,-7,2014,January,2010–2014
2014-02-15,-7,2014,February,2010–2014
2014-03-15,-5,2014,March,2010–2014
2014-04-15,-3,2014,April,2010–2014
2014-05-15,0,2014,May,2010–2014
2014-06-15,1,2014,June,2010–2014
2014-07-15,-2,2014,July,2010–2014
2014-08-15,1,2014,August,2010–2014
2014-09-15,-1,2014,September,2010–2014
2014-10-15,-2,2014,October,2010–2014
2014-11-15,-2,2014,November,2010–2014
2014-12-15,-4,2014,December,2010–2014
2015-01-15,1,2015,January,2015–2019
2015-02-15,1,2015,February,2015–2019
2015-03-15,4,2015,March,2015–2019
2015-04-15,4,2015,April,2015–2019
2015-05-15,1,2015,May,2015–2019
2015-06-15,7,2015,June,2015–2019
2015-07-15,4,2015,July,2015–2019
2015-08-15,7,2015,August,2015–2019
2015-09-15,3,2015,September,2015–2019
2015-10-15,2,2015,October,2015–2019
2015-11-15,1,2015,November,2015–2019
2015-12-15,2,2015,December,2015–2019
2016-01-15,4,2016,January,2015–2019
2016-02-15,0,2016,February,2015–2019
2016-03-15,0,2016,March,2015–2019
2016-04-15,-3,2016,April,2015–2019
2016-05-15,-1,2016,May,2015–2019
2016-06-15,-1,2016,June,2015–2019
2016-07-15,-12,2016,July,2015–2019
2016-08-15,-7,2016,August,2015–2019
2016-09-15,-1,2016,September,2015–2019
2016-10-15,-3,2016,October,2015–2019
2016-11-15,-8,2016,November,2015–2019
2016-12-15,-7,2016,December,2015–2019
2017-01-15,-5,2017,January,2015–2019
2017-02-15,-6,2017,February,2015–2019
2017-03-15,-6,2017,March,2015–2019
2017-04-15,-7,2017,April,2015–2019
2017-05-15,-5,2017,May,2015–2019
2017-06-15,-10,2017,June,2015–2019
2017-07-15,-12,2017,July,2015–2019
2017-08-15,-10,2017,August,2015–2019
2017-09-15,-9,2017,September,2015–2019
2017-10-15,-10,2017,October,2015–2019
2017-11-15,-12,2017,November,2015–2019
2017-12-15,-13,2017,December,2015–2019
2018-01-15,-9,2018,January,2015–2019
2018-02-15,-10,2018,February,2015–2019
2018-03-15,-7,2018,March,2015–2019
2018-04-15,-9,2018,April,2015–2019
2018-05-15,-7,2018,May,2015–2019
2018-06-15,-9,2018,June,2015–2019
2018-07-15,-10,2018,July,2015–2019
2018-08-15,-7,2018,August,2015–2019
2018-09-15,-9,2018,September,2015–2019
2018-10-15,-10,2018,October,2015–2019
2018-11-15,-13,2018,November,2015–2019
2018-12-15,-14,2018,December,2015–2019
2019-01-15,-14,2019,January,2015–2019
2019-02-15,-13,2019,February,2015–2019
2019-03-15,-13,2019,March,2015–2019
2019-04-15,-13,2019,April,2015–2019
2019-05-15,-10,2019,May,2015–2019
2019-06-15,-13,2019,June,2015–2019
2019-07-15,-11,2019,July,2015–2019
2019-08-15,-14,2019,August,2015–2019
2019-09-15,-12,2019,September,2015–2019
2019-10-15,-14,2019,October,2015–2019
2019-11-15,-14,2019,November,2015–2019
2019-12-15,-11,2019,December,2015–2019
2020-01-15,-9,2020,January,2020–2024
2020-02-15,-7,2020,February,2020–2024
2020-03-15,-34,2020,March,2020–2024
2020-04-15,-33,2020,April,2020–2024
2020-05-15,-36,2020,May,2020–2024
2020-06-15,-27,2020,June,2020–2024
2020-07-15,-27,2020,July,2020–2024
2020-08-15,-27,2020,August,2020–2024
2020-09-15,-25,2020,September,2020–2024
2020-10-15,-31,2020,October,2020–2024
2020-11-15,-33,2020,November,2020–2024
2020-12-15,-26,2020,December,2020–2024
2021-01-15,-28,2021,January,2020–2024
2021-02-15,-23,2021,February,2020–2024
2021-03-15,-16,2021,March,2020–2024
2021-04-15,-15,2021,April,2020–2024
2021-05-15,-9,2021,May,2020–2024
2021-06-15,-9,2021,June,2020–2024
2021-07-15,-7,2021,July,2020–2024
2021-08-15,-8,2021,August,2020–2024
2021-09-15,-13,2021,September,2020–2024
2021-10-15,-17,2021,October,2020–2024
2021-11-15,-14,2021,November,2020–2024
2021-12-15,-15,2021,December,2020–2024
2022-01-15,-19,2022,January,2020–2024
2022-02-15,-26,2022,February,2020–2024
2022-03-15,-31,2022,March,2020–2024
2022-04-15,-38,2022,April,2020–2024
2022-05-15,-40,2022,May,2020–2024
2022-06-15,-41,2022,June,2020–2024
2022-07-15,-41,2022,July,2020–2024
2022-08-15,-44,2022,August,2020–2024
2022-09-15,-49,2022,September,2020–2024
2022-10-15,-47,2022,October,2020–2024
2022-11-15,-44,2022,November,2020–2024
2022-12-15,-42,2022,December,2020–2024
2023-01-15,-45,2023,January,2020–2024
2023-02-15,-38,2023,February,2020–2024
2023-03-15,-36,2023,March,2020–2024
2023-04-15,-30,2023,April,2020–2024
2023-05-15,-27,2023,May,2020–2024
2023-06-15,-24,2023,June,2020–2024
2023-07-15,-30,2023,July,2020–2024
2023-08-15,-25,2023,August,2020–2024
2023-09-15,-21,2023,September,2020–2024
2023-10-15,-30,2023,October,2020–2024
2023-11-15,-24,2023,November,2020–2024
2023-12-15,-22,2023,December,2020–2024
2024-01-15,-19,2024,January,2020–2024
2024-02-15,-21,2024,February,2020–2024
2024-03-15,-21,2024,March,2020–2024
2024-04-15,-19,2024,April,2020–2024
2024-05-15,-17,2024,May,2020–2024
2024-06-15,-14,2024,June,2020–2024
2024-07-15,-13,2024,July,2020–2024
2024-08-15,-13,2024,August,2020–2024
2024-09-15,-20,2024,September,2020–2024
2024-10-15,-21,2024,October,2020–2024
2024-11-15,-18,2024,November,2020–2024
2024-12-15,-17,2024,December,2020–2024
2025-01-15,-22,2025,January,2025–2029
2025-02-15,-20,2025,February,2025–2029
2025-03-15,-19,2025,March,2025–2029
2025-04-15,-23,2025,April,2025–2029
